config_id,category,parameter,expected_value,actual_value,is_compliant,is_vulnerable,severity,cis_reference,timestamp,feature_network_exposed,feature_affects_auth,feature_critical_file,feature_root_access,feature_weak_auth,feature_kernel_hardening,feature_network_stack,feature_firewall_weak,feature_world_writable,feature_weak_protocol,feature_is_vulnerable,feature_high_risk_param,feature_category_risk,feature_ssh_risk_score,feature_perm_risk_score,feature_pwd_weakness_score,feature_combined_risk
SSH-0018,SSH,Protocol,2,2,True,False,NONE,CIS-5.2.2,2026-05-26,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0003,SSH,Protocol,2,1,False,True,CRITICAL,CIS-5.2.2,2026-05-08,1,0,0,0,0,0,0,0,0,1,1,1,3,4,0,0,9
SSH-0045,SSH,PermitUserEnvironment,no,no,True,False,NONE,CIS-5.2.11,2026-06-12,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSH-0063,SSH,MaxAuthTries,3,10,False,True,MEDIUM,CIS-5.2.5,2026-12-11,1,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,3
PWD-0007,PASSWORD_POLICY,PASS_MAX_DAYS,90,30,True,False,NONE,CIS-5.4.1,2026-04-23,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
SSH-0052,SSH,PasswordAuthentication,no,no,True,False,NONE,CIS-5.2.10,2026-04-06,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
PERM-0041,FILE_PERMISSIONS,/etc/hosts,644,777,False,True,CRITICAL,CIS-3.4.1,2026-08-01,0,0,0,0,0,0,0,0,1,0,1,0,2,0,4,0,8
SSH-0037,SSH,PermitUserEnvironment,no,no,True,False,NONE,CIS-5.2.11,2026-02-02,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSH-0064,SSH,Protocol,2,1,False,True,CRITICAL,CIS-5.2.2,2026-04-21,1,0,0,0,0,0,0,0,0,1,1,1,3,4,0,0,9
SSH-0019,SSH,PermitUserEnvironment,no,no,True,False,NONE,CIS-5.2.11,2026-01-25,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSH-0041,SSH,Protocol,2,2,True,False,NONE,CIS-5.2.2,2026-02-13,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0043,SSH,PermitEmptyPasswords,no,no,True,False,NONE,CIS-5.2.9,2026-11-27,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0063,SSH,PermitEmptyPasswords,no,no,True,False,NONE,CIS-5.2.9,2026-12-11,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0010,SSH,Protocol,2,2,True,False,NONE,CIS-5.2.2,2026-02-07,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0044,SSH,MaxAuthTries,3,3,True,False,NONE,CIS-5.2.5,2026-06-06,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSH-0009,SSH,X11Forwarding,no,yes,False,True,LOW,CIS-5.2.6,2026-01-01,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1
PERM-0012,FILE_PERMISSIONS,/etc/shadow,640,400,False,True,MEDIUM,CIS-6.1.3,2026-02-25,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,1
SSH-0002,SSH,PermitEmptyPasswords,no,yes,False,True,CRITICAL,CIS-5.2.9,2026-01-24,1,1,0,0,1,0,0,0,0,0,1,1,3,4,0,0,8
PERM-0037,FILE_PERMISSIONS,/etc/crontab,644,666,False,True,CRITICAL,CIS-5.1.2,2026-03-12,0,0,0,0,0,0,0,0,1,0,1,0,2,0,4,0,8
SSH-0061,SSH,PermitEmptyPasswords,no,no,True,False,NONE,CIS-5.2.9,2026-05-03,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0007,SSH,PasswordAuthentication,no,yes,False,True,HIGH,CIS-5.2.10,2026-09-03,1,1,0,0,1,0,0,0,0,0,1,0,3,3,0,0,6
SSH-0054,SSH,MaxAuthTries,3,10,False,True,MEDIUM,CIS-5.2.5,2026-05-21,1,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,3
SSH-0020,SSH,PermitRootLogin,no,yes,False,True,CRITICAL,CIS-5.2.8,2026-03-23,1,1,0,1,0,0,0,0,0,0,1,1,3,4,0,0,9
PWD-0003,PASSWORD_POLICY,PASS_MIN_DAYS,1,0,False,True,LOW,CIS-GENERAL,2026-05-17,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
SSH-0018,SSH,PermitEmptyPasswords,no,no,True,False,NONE,CIS-5.2.9,2026-05-26,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0041,SSH,PermitRootLogin,no,without-password,False,True,CRITICAL,CIS-5.2.8,2026-02-13,1,1,0,1,0,0,0,0,0,0,1,1,3,2,0,0,7
SSH-0022,SSH,MaxAuthTries,3,6,False,True,MEDIUM,CIS-5.2.5,2026-05-05,1,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,2
SSH-0062,SSH,PasswordAuthentication,no,yes,False,True,HIGH,CIS-5.2.10,2026-04-19,1,1,0,0,1,0,0,0,0,0,1,0,3,3,0,0,6
SSH-0034,SSH,PermitEmptyPasswords,no,no,True,False,NONE,CIS-5.2.9,2026-11-20,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0045,SSH,PasswordAuthentication,no,no,True,False,NONE,CIS-5.2.10,2026-06-12,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSH-0058,SSH,Protocol,2,2,True,False,NONE,CIS-5.2.2,2026-01-08,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0006,SSH,Protocol,2,2,True,False,NONE,CIS-5.2.2,2026-11-24,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0062,SSH,PermitRootLogin,no,yes,False,True,CRITICAL,CIS-5.2.8,2026-04-19,1,1,0,1,0,0,0,0,0,0,1,1,3,4,0,0,9
SSH-0022,SSH,Protocol,2,2,True,False,NONE,CIS-5.2.2,2026-05-05,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0027,SSH,X11Forwarding,no,yes,False,True,LOW,CIS-5.2.6,2026-06-20,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1
PWD-0002,PASSWORD_POLICY,PASS_MAX_DAYS,90,99999,False,True,MEDIUM,CIS-5.4.1,2026-09-06,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,3,3
SSH-0059,SSH,PasswordAuthentication,no,no,True,False,NONE,CIS-5.2.10,2026-01-26,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
PWD-0010,PASSWORD_POLICY,PASS_MIN_DAYS,1,0,False,True,LOW,CIS-GENERAL,2026-06-15,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
PWD-0002,PASSWORD_POLICY,PASS_MIN_DAYS,1,0,False,True,LOW,CIS-GENERAL,2026-09-06,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
SSH-0040,SSH,PasswordAuthentication,no,no,True,False,NONE,CIS-5.2.10,2026-04-28,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSH-0024,SSH,PermitRootLogin,no,no,True,False,NONE,CIS-5.2.8,2026-06-04,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
PERM-0005,FILE_PERMISSIONS,/etc/passwd,644,755,False,True,MEDIUM,CIS-6.1.2,2026-12-18,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1
SSH-0045,SSH,PermitRootLogin,no,forced-commands-only,False,True,CRITICAL,CIS-5.2.8,2026-06-12,1,1,0,0,0,0,0,0,0,0,1,1,3,1,0,0,2
PWD-0002,PASSWORD_POLICY,complexity,yes,no,False,True,MEDIUM,CIS-GENERAL,2026-09-06,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,3,6
FW-0006,FIREWALL,default_policy,DROP,DROP,True,False,NONE,CIS-3.6.2,2026-04-19,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSH-0044,SSH,PermitEmptyPasswords,no,no,True,False,NONE,CIS-5.2.9,2026-06-06,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0032,SSH,MaxAuthTries,3,4,False,True,MEDIUM,CIS-5.2.5,2026-02-18,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1
PWD-0006,PASSWORD_POLICY,PASS_MIN_DAYS,1,1,True,False,NONE,CIS-GENERAL,2026-12-23,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
SSH-0021,SSH,X11Forwarding,no,yes,False,True,LOW,CIS-5.2.6,2026-07-11,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1
SSH-0019,SSH,PasswordAuthentication,no,no,True,False,NONE,CIS-5.2.10,2026-01-25,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSH-0059,SSH,Protocol,2,2,True,False,NONE,CIS-5.2.2,2026-01-26,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0043,SSH,X11Forwarding,no,no,True,False,NONE,CIS-5.2.6,2026-11-27,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSH-0028,SSH,PermitUserEnvironment,no,no,True,False,NONE,CIS-5.2.11,2026-05-26,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSH-0047,SSH,PermitRootLogin,no,forced-commands-only,False,True,CRITICAL,CIS-5.2.8,2026-05-23,1,1,0,0,0,0,0,0,0,0,1,1,3,1,0,0,2
SSH-0054,SSH,PermitRootLogin,no,no,True,False,NONE,CIS-5.2.8,2026-05-21,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
FW-0006,FIREWALL,enabled,yes,yes,True,False,NONE,CIS-3.6.1,2026-04-19,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0010,SSH,X11Forwarding,no,yes,False,True,LOW,CIS-5.2.6,2026-02-07,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1
SSH-0013,SSH,PermitRootLogin,no,yes,False,True,CRITICAL,CIS-5.2.8,2026-09-07,1,1,0,1,0,0,0,0,0,0,1,1,3,4,0,0,9
SYSCTL-0014,SYSCTL,net.ipv4.tcp_syncookies,1,1,True,False,NONE,CIS-3.2.8,2026-02-04,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1
SSH-0046,SSH,MaxAuthTries,3,3,True,False,NONE,CIS-5.2.5,2026-04-22,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSH-0003,SSH,PermitEmptyPasswords,no,yes,False,True,CRITICAL,CIS-5.2.9,2026-05-08,1,1,0,0,1,0,0,0,0,0,1,1,3,4,0,0,8
SSH-0063,SSH,PermitUserEnvironment,no,yes,False,True,LOW,CIS-5.2.11,2026-12-11,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1
SSH-0027,SSH,PermitEmptyPasswords,no,no,True,False,NONE,CIS-5.2.9,2026-06-20,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
PWD-0010,PASSWORD_POLICY,PASS_MAX_DAYS,90,180,False,True,MEDIUM,CIS-5.4.1,2026-06-15,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1
PERM-0003,FILE_PERMISSIONS,/etc/passwd,644,664,False,True,HIGH,CIS-6.1.2,2026-03-09,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,2
SSH-0023,SSH,PermitEmptyPasswords,no,yes,False,True,CRITICAL,CIS-5.2.9,2026-04-25,1,1,0,0,1,0,0,0,0,0,1,1,3,4,0,0,8
SSH-0045,SSH,X11Forwarding,no,no,True,False,NONE,CIS-5.2.6,2026-06-12,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSH-0001,SSH,PasswordAuthentication,no,yes,False,True,HIGH,CIS-5.2.10,2026-11-04,1,1,0,0,1,0,0,0,0,0,1,0,3,3,0,0,6
SSH-0064,SSH,PermitUserEnvironment,no,yes,False,True,LOW,CIS-5.2.11,2026-04-21,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1
SSH-0025,SSH,Protocol,2,2,True,False,NONE,CIS-5.2.2,2026-02-13,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
PWD-0006,PASSWORD_POLICY,PASS_WARN_AGE,7,14,True,False,NONE,CIS-GENERAL,2026-12-23,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
SSH-0035,SSH,PermitRootLogin,no,no,True,False,NONE,CIS-5.2.8,2026-06-19,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0012,SSH,PermitEmptyPasswords,no,no,True,False,NONE,CIS-5.2.9,2026-10-01,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
PWD-0005,PASSWORD_POLICY,complexity,yes,yes,True,False,NONE,CIS-GENERAL,2026-04-18,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
SYSCTL-0015,SYSCTL,fs.suid_dumpable,0,1,False,True,MEDIUM,CIS-GENERAL,2026-11-14,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,2
SSH-0028,SSH,Protocol,2,2,True,False,NONE,CIS-5.2.2,2026-05-26,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0058,SSH,MaxAuthTries,3,6,False,True,MEDIUM,CIS-5.2.5,2026-01-08,1,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,2
SSH-0034,SSH,PermitRootLogin,no,no,True,False,NONE,CIS-5.2.8,2026-11-20,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
PWD-0009,PASSWORD_POLICY,PASS_MIN_LEN,14,6,False,True,HIGH,CIS-5.4.1,2026-11-21,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,3,6
FW-0002,FIREWALL,logging,yes,no,False,True,LOW,CIS-GENERAL,2026-02-08,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,3
PWD-0008,PASSWORD_POLICY,PASS_MAX_DAYS,90,99999,False,True,MEDIUM,CIS-5.4.1,2026-05-13,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,3,3
SSH-0031,SSH,PermitUserEnvironment,no,no,True,False,NONE,CIS-5.2.11,2026-02-13,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSH-0027,SSH,PermitUserEnvironment,no,no,True,False,NONE,CIS-5.2.11,2026-06-20,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSH-0041,SSH,MaxAuthTries,3,3,True,False,NONE,CIS-5.2.5,2026-02-13,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSH-0002,SSH,MaxAuthTries,3,10,False,True,MEDIUM,CIS-5.2.5,2026-01-24,1,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,3
SSH-0049,SSH,PasswordAuthentication,no,no,True,False,NONE,CIS-5.2.10,2026-02-20,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSH-0015,SSH,PasswordAuthentication,no,yes,False,True,HIGH,CIS-5.2.10,2026-12-18,1,1,0,0,1,0,0,0,0,0,1,0,3,3,0,0,6
PWD-0007,PASSWORD_POLICY,PASS_MIN_LEN,14,14,True,False,NONE,CIS-5.4.1,2026-04-23,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
SSH-0057,SSH,PermitEmptyPasswords,no,yes,False,True,CRITICAL,CIS-5.2.9,2026-06-27,1,1,0,0,1,0,0,0,0,0,1,1,3,4,0,0,8
SYSCTL-0005,SYSCTL,net.ipv4.conf.all.accept_redirects,0,1,False,True,MEDIUM,CIS-GENERAL,2026-09-08,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,2
SSH-0049,SSH,MaxAuthTries,3,10,False,True,MEDIUM,CIS-5.2.5,2026-02-20,1,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,3
SSH-0022,SSH,X11Forwarding,no,yes,False,True,LOW,CIS-5.2.6,2026-05-05,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1
SSH-0060,SSH,PermitUserEnvironment,no,no,True,False,NONE,CIS-5.2.11,2026-06-13,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
PERM-0043,FILE_PERMISSIONS,/boot/grub/grub.cfg,400,444,False,True,MEDIUM,CIS-1.4.1,2026-05-08,0,0,1,0,0,0,0,0,0,0,1,1,2,0,1,0,2
SSH-0064,SSH,PasswordAuthentication,no,yes,False,True,HIGH,CIS-5.2.10,2026-04-21,1,1,0,0,1,0,0,0,0,0,1,0,3,3,0,0,6
PWD-0009,PASSWORD_POLICY,PASS_MIN_DAYS,1,0,False,True,LOW,CIS-GENERAL,2026-11-21,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
SYSCTL-0009,SYSCTL,kernel.randomize_va_space,2,0,False,True,HIGH,CIS-1.5.3,2026-12-19,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,3
SSH-0006,SSH,X11Forwarding,no,yes,False,True,LOW,CIS-5.2.6,2026-11-24,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1
SSH-0023,SSH,PermitUserEnvironment,no,yes,False,True,LOW,CIS-5.2.11,2026-04-25,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1
SSH-0010,SSH,PasswordAuthentication,no,yes,False,True,HIGH,CIS-5.2.10,2026-02-07,1,1,0,0,1,0,0,0,0,0,1,0,3,3,0,0,6
SSH-0002,SSH,PasswordAuthentication,no,yes,False,True,HIGH,CIS-5.2.10,2026-01-24,1,1,0,0,1,0,0,0,0,0,1,0,3,3,0,0,6
SSH-0057,SSH,PermitRootLogin,no,no,True,False,NONE,CIS-5.2.8,2026-06-27,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0004,SSH,PermitUserEnvironment,no,yes,False,True,LOW,CIS-5.2.11,2026-04-05,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1
SSH-0034,SSH,Protocol,2,2,True,False,NONE,CIS-5.2.2,2026-11-20,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0006,SSH,PermitUserEnvironment,no,yes,False,True,LOW,CIS-5.2.11,2026-11-24,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1
SSH-0060,SSH,Protocol,2,2,True,False,NONE,CIS-5.2.2,2026-06-13,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0010,SSH,MaxAuthTries,3,6,False,True,MEDIUM,CIS-5.2.5,2026-02-07,1,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,2
SSH-0023,SSH,PermitRootLogin,no,no,True,False,NONE,CIS-5.2.8,2026-04-25,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0004,SSH,PasswordAuthentication,no,yes,False,True,HIGH,CIS-5.2.10,2026-04-05,1,1,0,0,1,0,0,0,0,0,1,0,3,3,0,0,6
SSH-0013,SSH,X11Forwarding,no,no,True,False,NONE,CIS-5.2.6,2026-09-07,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSH-0007,SSH,MaxAuthTries,3,10,False,True,MEDIUM,CIS-5.2.5,2026-09-03,1,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,3
SSH-0026,SSH,PermitUserEnvironment,no,no,True,False,NONE,CIS-5.2.11,2026-02-12,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSH-0039,SSH,PermitUserEnvironment,no,no,True,False,NONE,CIS-5.2.11,2026-05-03,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSH-0011,SSH,PermitRootLogin,no,yes,False,True,CRITICAL,CIS-5.2.8,2026-04-17,1,1,0,1,0,0,0,0,0,0,1,1,3,4,0,0,9
PERM-0036,FILE_PERMISSIONS,/etc/crontab,644,664,False,True,HIGH,CIS-5.1.2,2026-10-07,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,2
SSH-0030,SSH,PermitUserEnvironment,no,no,True,False,NONE,CIS-5.2.11,2026-08-18,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSH-0021,SSH,PermitEmptyPasswords,no,yes,False,True,CRITICAL,CIS-5.2.9,2026-07-11,1,1,0,0,1,0,0,0,0,0,1,1,3,4,0,0,8
PWD-0005,PASSWORD_POLICY,PASS_MAX_DAYS,90,90,True,False,NONE,CIS-5.4.1,2026-04-18,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
SSH-0005,SSH,MaxAuthTries,3,10,False,True,MEDIUM,CIS-5.2.5,2026-12-04,1,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,3
SSH-0002,SSH,PermitUserEnvironment,no,yes,False,True,LOW,CIS-5.2.11,2026-01-24,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1
SSH-0057,SSH,PermitUserEnvironment,no,no,True,False,NONE,CIS-5.2.11,2026-06-27,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SYSCTL-0003,SYSCTL,net.ipv4.conf.all.send_redirects,0,1,False,True,MEDIUM,CIS-GENERAL,2026-01-28,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,2
SSH-0043,SSH,Protocol,2,2,True,False,NONE,CIS-5.2.2,2026-11-27,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0047,SSH,PasswordAuthentication,no,no,True,False,NONE,CIS-5.2.10,2026-05-23,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSH-0063,SSH,Protocol,2,1,False,True,CRITICAL,CIS-5.2.2,2026-12-11,1,0,0,0,0,0,0,0,0,1,1,1,3,4,0,0,9
PWD-0009,PASSWORD_POLICY,PASS_WARN_AGE,7,0,False,True,LOW,CIS-GENERAL,2026-11-21,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1
PWD-0002,PASSWORD_POLICY,PASS_WARN_AGE,7,7,True,False,NONE,CIS-GENERAL,2026-09-06,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
PERM-0029,FILE_PERMISSIONS,/etc/sudoers,440,444,False,True,MEDIUM,CIS-5.3.1,2026-08-01,0,0,1,0,0,0,0,0,0,0,1,1,2,0,1,0,2
SSH-0048,SSH,MaxAuthTries,3,3,True,False,NONE,CIS-5.2.5,2026-11-21,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
PERM-0048,FILE_PERMISSIONS,/etc/fstab,644,664,False,True,HIGH,CIS-1.1.1,2026-02-25,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,2
SSH-0010,SSH,PermitUserEnvironment,no,no,True,False,NONE,CIS-5.2.11,2026-02-07,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSH-0035,SSH,PermitEmptyPasswords,no,no,True,False,NONE,CIS-5.2.9,2026-06-19,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
SSH-0043,SSH,PermitRootLogin,no,without-password,False,True,CRITICAL,CIS-5.2.8,2026-11-27,1,1,0,1,0,0,0,0,0,0,1,1,3,2,0,0,7
PERM-0006,FILE_PERMISSIONS,/etc/passwd,644,777,False,True,CRITICAL,CIS-6.1.2,2026-09-09,0,0,0,0,0,0,0,0,1,0,1,0,2,0,4,0,8
SSH-0061,SSH,PermitUserEnvironment,no,yes,False,True,LOW,CIS-5.2.11,2026-05-03,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1
SSH-0017,SSH,PasswordAuthentication,no,no,True,False,NONE,CIS-5.2.10,2026-08-19,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSH-0001,SSH,PermitEmptyPasswords,no,yes,False,True,CRITICAL,CIS-5.2.9,2026-11-04,1,1,0,0,1,0,0,0,0,0,1,1,3,4,0,0,8
PWD-0004,PASSWORD_POLICY,PASS_MIN_DAYS,1,1,True,False,NONE,CIS-GENERAL,2026-10-14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
